Cluster,customer_number,total_spend,num_of_unique_visits,total_quantity,average_basket_quantity,average_basket_spend,SUM_basket_categories,avg_spend_veg_category,avg_spend_other_food_category,avg_spend_miscelleanous_category
1,111,530.64,40,387,1.2285714285714286,1.68,174,0.8536315789473685,1.6797794117647062,2.295081967213114
1,133,700.34,54,441,1.242253521126761,1.97,205,0.9163779527559056,1.6422222222222225,2.4096629213483145
1,258,380.57,49,240,1.085972850678733,1.72,165,0.9117910447761194,1.2241322314049587,3.295384615384615
1,280,344.85,54,215,1.0696517412935325,1.72,169,0.821388888888889,1.2093939393939397,2.673896103896104
1,308,533.12,45,356,1.2027027027027029,1.8,207,0.7569354838709677,1.2113513513513514,4.370677966101695
1,398,499.53,37,170,1.1805555555555556,3.47,112,0.7916438356164384,3.0721875,7.427878787878788
1,412,346.35,46,285,1.417910447761194,1.72,153,0.7649645390070922,1.5566115702479335,2.18
1,572,638.79,40,346,1.2140350877192982,2.24,164,0.8595348837209301,1.2696268656716416,3.1328571428571426
1,620,540.35,42,309,1.099644128113879,1.92,168,1.0324264705882351,1.5126595744680849,3.2626582278481013
1,725,834.38,86,302,1.2326530612244897,3.41,161,1.0745,3.5815116279069765,8.942
1,928,1074.51,66,294,1.065217391304348,3.89,183,1.1836708860759495,1.7229824561403508,9.990886075949367
1,1050,391.68,17,240,1.170731707317073,1.91,89,1.2733124999999998,2.267413793103448,2.565454545454545
1,1060,668.68,40,432,1.125,1.74,184,1.162704081632653,1.556578947368421,2.430833333333333
1,1128,845.68,64,358,1.1329113924050631,2.68,205,1.4081428571428571,1.2930337078651686,7.371016949152543
1,1145,488.66,45,345,1.173469387755102,1.66,194,1.0416766467065868,1.328472222222222,3.6294117647058814
1,1228,379.75,42,278,1.130081300813008,1.54,144,1.011140350877193,1.2628181818181818,2.3253703703703703
1,1322,943.31,35,175,1.206896551724138,6.51,95,1.3016666666666667,1.9993103448275864,11.526470588235291
1,1379,415.21,37,154,1.203125,3.24,112,1.018360655737705,1.2503389830508471,8.215294117647058
1,1469,366.15,70,280,1.1522633744855968,1.51,183,1.0488805970149255,1.147222222222222,2.6763157894736844
1,1509,420.2,29,268,1.3137254901960784,2.06,107,1.172872340425532,1.2741509433962264,4.895185185185186
1,1937,550.59,36,424,1.2325581395348837,1.6,156,0.9787030716723548,1.9675229357798167,2.244090909090909
1,2125,471.22,42,374,1.1299093655589123,1.42,221,0.977159090909091,1.1121518987341772,3.088
1,2138,476.85,80,362,1.4196078431372547,1.87,181,0.9444554455445544,0.9562254901960784,3.27
1,2301,376.32,23,201,1.1964285714285714,2.24,107,0.8673043478260869,1.663333333333333,4.504468085106383
1,2327,414.14,32,249,1.2512562814070352,2.08,123,0.8371698113207549,1.5896842105263156,3.6329166666666666
1,2501,512.9,38,228,1.2127659574468084,2.73,149,1.1840816326530612,1.8944262295081968,4.076811594202899
1,2669,278.27,32,209,1.30625,1.74,120,0.79453125,1.052481203007519,7.286666666666666
1,2761,616.76,59,422,1.1722222222222225,1.71,230,0.9565945945945946,1.4329530201342284,2.5713636363636363
1,2792,496.63,30,254,1.0119521912350598,1.98,61,2.19,1.07875,2.0134177215189872
1,2922,483.14,36,235,1.3128491620111733,2.7,125,0.6369811320754718,0.7106603773584905,4.921710526315789
